model,education,income,sample,age,rho,var_alpha,sigma2,omega2,theta,sterr_rho,sterr_theta,sterr_var_alpha,sterr_sigma2,sterr_omega2
"model_baseline","lowskill","market","sample_baseline",51,1,,.19727,.017034,.2385,0,.0035885,,.0049915,.0021277
"model_baseline","lowskill","market","sample_baseline",52,1,,.21656,.015592,.2385,0,.0035885,,.0042535,.0024288
"model_baseline","lowskill","market","sample_baseline",53,1,,.23227,.012564,.2385,0,.0035885,,.0048523,.0025148
"model_baseline","lowskill","market","sample_baseline",54,1,,.24134,.0065249,.2385,0,.0035885,,.0048574,.0026859
"model_baseline","lowskill","market","sample_baseline",55,1,,.25222,.0028312,.2385,0,.0035885,,.0049151,.0021598
"model_baseline","lowskill","market","sample_baseline",56,1,,.28013,9.21e-06,.2385,0,.0035885,,.0061881,.0011528
"model_baseline","lowskill","market","sample_baseline",57,1,,.29998,1.96e-06,.2385,0,.0035885,,.0057352,1.11e-06
"model_baseline","lowskill","market","sample_baseline",58,1,,.33295,5.50e-07,.2385,0,.0035885,,.0054898,9.91e-08
"model_baseline","lowskill","market","sample_baseline",59,1,,.3801,1.99e-06,.2385,0,.0035885,,.0047223,8.92e-07
"model_baseline","lowskill","market","sample_baseline",60,1,,.3801,1.99e-06,.2385,0,.0035885,,.0047223,8.92e-07
"model_baseline","mediumskill","disposable","sample_baseline",26,.89,.030796,.067531,.040437,.23845,.0054999,.0039816,.0011621,.0017793,.0011681
"model_baseline","mediumskill","disposable","sample_baseline",27,.89,.030796,.051106,.03202,.23845,.0054999,.0039816,.0011621,.0009246,.0010736
"model_baseline","mediumskill","disposable","sample_baseline",28,.89,.030796,.051014,.026614,.23845,.0054999,.0039816,.0011621,.001072,.0010418
"model_baseline","mediumskill","disposable","sample_baseline",29,.89,.030796,.046921,.02304,.23845,.0054999,.0039816,.0011621,.0011198,.0009641
"model_baseline","mediumskill","disposable","sample_baseline",30,.89,.030796,.041159,.018384,.23845,.0054999,.0039816,.0011621,.0008591,.0008342
"model_baseline","mediumskill","disposable","sample_baseline",31,.89,.030796,.040436,.01614,.23845,.0054999,.0039816,.0011621,.0012295,.000684
"model_baseline","mediumskill","disposable","sample_baseline",32,.89,.030796,.039834,.014747,.23845,.0054999,.0039816,.0011621,.0010444,.0008397
"model_baseline","mediumskill","disposable","sample_baseline",33,.89,.030796,.038656,.014906,.23845,.0054999,.0039816,.0011621,.0009302,.0008029
"model_baseline","mediumskill","disposable","sample_baseline",34,.89,.030796,.037976,.013919,.23845,.0054999,.0039816,.0011621,.0009525,.0006883
"model_baseline","mediumskill","disposable","sample_baseline",35,.89,.030796,.038786,.011904,.23845,.0054999,.0039816,.0011621,.0009954,.000605
"model_baseline","mediumskill","disposable","sample_baseline",36,.89,.030796,.040167,.011712,.23845,.0054999,.0039816,.0011621,.0009183,.0007751
"model_baseline","mediumskill","disposable","sample_baseline",37,.89,.030796,.038611,.015458,.23845,.0054999,.0039816,.0011621,.0008213,.0007226
"model_baseline","mediumskill","disposable","sample_baseline",38,.89,.030796,.037285,.014447,.23845,.0054999,.0039816,.0011621,.0009535,.0007487
"model_baseline","mediumskill","disposable","sample_baseline",39,.89,.030796,.038086,.012915,.23845,.0054999,.0039816,.0011621,.0008897,.0007062
"model_baseline","mediumskill","disposable","sample_baseline",40,.89,.030796,.037817,.014001,.23845,.0054999,.0039816,.0011621,.0010682,.0009088
"model_baseline","mediumskill","disposable","sample_baseline",41,.89,.030796,.037295,.013621,.23845,.0054999,.0039816,.0011621,.0009137,.0008349
"model_baseline","mediumskill","disposable","sample_baseline",42,.89,.030796,.037287,.014269,.23845,.0054999,.0039816,.0011621,.0009071,.000696
"model_baseline","mediumskill","disposable","sample_baseline",43,.89,.030796,.036305,.015006,.23845,.0054999,.0039816,.0011621,.0010706,.0009357
"model_baseline","mediumskill","disposable","sample_baseline",44,.89,.030796,.037509,.014803,.23845,.0054999,.0039816,.0011621,.0009087,.0008438
"model_baseline","mediumskill","disposable","sample_baseline",45,.89,.030796,.040846,.012723,.23845,.0054999,.0039816,.0011621,.0011944,.0008106
"model_baseline","mediumskill","disposable","sample_baseline",46,.89,.030796,.040898,.013433,.23845,.0054999,.0039816,.0011621,.0009508,.0008441
"model_baseline","mediumskill","disposable","sample_baseline",47,.89,.030796,.04364,.014113,.23845,.0054999,.0039816,.0011621,.0012444,.0008787
"model_baseline","mediumskill","disposable","sample_baseline",48,.89,.030796,.044933,.014624,.23845,.0054999,.0039816,.0011621,.001345,.0008122
"model_baseline","mediumskill","disposable","sample_baseline",49,.89,.030796,.043116,.015127,.23845,.0054999,.0039816,.0011621,.0011084,.0009381
"model_baseline","mediumskill","disposable","sample_baseline",50,.89,.030796,.049333,.013149,.23845,.0054999,.0039816,.0011621,.0015725,.0009733
"model_baseline","mediumskill","disposable","sample_baseline",51,.89,.030796,.051829,.011813,.23845,.0054999,.0039816,.0011621,.0014892,.0010869
"model_baseline","mediumskill","disposable","sample_baseline",52,.89,.030796,.053446,.011597,.23845,.0054999,.0039816,.0011621,.0016388,.0009099
"model_baseline","mediumskill","disposable","sample_baseline",53,.89,.030796,.057511,.012048,.23845,.0054999,.0039816,.0011621,.0017307,.0011334
"model_baseline","mediumskill","disposable","sample_baseline",54,.89,.030796,.0595,.012759,.23845,.0054999,.0039816,.0011621,.001711,.0014288
"model_baseline","mediumskill","disposable","sample_baseline",55,.89,.030796,.06554,.012794,.23845,.0054999,.0039816,.0011621,.0016752,.0012969
"model_baseline","mediumskill","disposable","sample_baseline",56,.89,.030796,.071558,.014634,.23845,.0054999,.0039816,.0011621,.0023678,.0015079
"model_baseline","mediumskill","disposable","sample_baseline",57,.89,.030796,.086082,.0060147,.23845,.0054999,.0039816,.0011621,.0020774,.0016497
"model_baseline","mediumskill","disposable","sample_baseline",58,.89,.030796,.14146,.0061056,.23845,.0054999,.0039816,.0011621,.0037376,.0017895
"model_baseline","mediumskill","disposable","sample_baseline",59,.89,.030796,.1322,.01653,.23845,.0054999,.0039816,.0011621,.0036874,.0024905
"model_baseline","mediumskill","disposable","sample_baseline",60,.89,.030796,.1322,.01653,.23845,.0054999,.0039816,.0011621,.0036874,.0024905
"model_baseline","mediumskill","disposable(family)","sample_baseline",26,.89,.027141,.064334,.036516,.24365,.0047809,.003916,.0008991,.0016477,.001053
"model_baseline","mediumskill","disposable(family)","sample_baseline",27,.89,.027141,.048132,.028373,.24365,.0047809,.003916,.0008991,.0008704,.0009519
"model_baseline","mediumskill","disposable(family)","sample_baseline",28,.89,.027141,.04558,.023774,.24365,.0047809,.003916,.0008991,.0008845,.0009124
"model_baseline","mediumskill","disposable(family)","sample_baseline",29,.89,.027141,.041259,.020201,.24365,.0047809,.003916,.0008991,.0010282,.0008467
"model_baseline","mediumskill","disposable(family)","sample_baseline",30,.89,.027141,.036128,.016244,.24365,.0047809,.003916,.0008991,.0008482,.0007039
"model_baseline","mediumskill","disposable(family)","sample_baseline",31,.89,.027141,.03432,.01422,.24365,.0047809,.003916,.0008991,.0010152,.0006136
"model_baseline","mediumskill","disposable(family)","sample_baseline",32,.89,.027141,.034055,.01249,.24365,.0047809,.003916,.0008991,.0008439,.0007513
"model_baseline","mediumskill","disposable(family)","sample_baseline",33,.89,.027141,.032411,.013088,.24365,.0047809,.003916,.0008991,.0008438,.0007216
"model_baseline","mediumskill","disposable(family)","sample_baseline",34,.89,.027141,.031666,.011765,.24365,.0047809,.003916,.0008991,.0008447,.0006238
"model_baseline","mediumskill","disposable(family)","sample_baseline",35,.89,.027141,.031409,.0096212,.24365,.0047809,.003916,.0008991,.0008209,.0005317
"model_baseline","mediumskill","disposable(family)","sample_baseline",36,.89,.027141,.030942,.0092328,.24365,.0047809,.003916,.0008991,.0007662,.0005956
"model_baseline","mediumskill","disposable(family)","sample_baseline",37,.89,.027141,.029864,.012283,.24365,.0047809,.003916,.0008991,.0007022,.0006493
"model_baseline","mediumskill","disposable(family)","sample_baseline",38,.89,.027141,.028763,.011194,.24365,.0047809,.003916,.0008991,.0007326,.0006992
"model_baseline","mediumskill","disposable(family)","sample_baseline",39,.89,.027141,.028675,.010218,.24365,.0047809,.003916,.0008991,.0006912,.00058
"model_baseline","mediumskill","disposable(family)","sample_baseline",40,.89,.027141,.02812,.010453,.24365,.0047809,.003916,.0008991,.0008457,.0006821
"model_baseline","mediumskill","disposable(family)","sample_baseline",41,.89,.027141,.027096,.010285,.24365,.0047809,.003916,.0008991,.000706,.0006951
"model_baseline","mediumskill","disposable(family)","sample_baseline",42,.89,.027141,.027647,.010658,.24365,.0047809,.003916,.0008991,.0006252,.0005847
"model_baseline","mediumskill","disposable(family)","sample_baseline",43,.89,.027141,.027213,.011228,.24365,.0047809,.003916,.0008991,.0008099,.0007589
"model_baseline","mediumskill","disposable(family)","sample_baseline",44,.89,.027141,.027796,.0096794,.24365,.0047809,.003916,.0008991,.0007165,.0005746
"model_baseline","mediumskill","disposable(family)","sample_baseline",45,.89,.027141,.028498,.0087476,.24365,.0047809,.003916,.0008991,.0008314,.0006898
"model_baseline","mediumskill","disposable(family)","sample_baseline",46,.89,.027141,.02782,.0092054,.24365,.0047809,.003916,.0008991,.0007427,.0006283
"model_baseline","mediumskill","disposable(family)","sample_baseline",47,.89,.027141,.029994,.0096882,.24365,.0047809,.003916,.0008991,.0009798,.0007246
"model_baseline","mediumskill","disposable(family)","sample_baseline",48,.89,.027141,.030419,.0094973,.24365,.0047809,.003916,.0008991,.0009368,.0006052
"model_baseline","mediumskill","disposable(family)","sample_baseline",49,.89,.027141,.028144,.010391,.24365,.0047809,.003916,.0008991,.0009135,.000806
"model_baseline","mediumskill","disposable(family)","sample_baseline",50,.89,.027141,.03129,.0083224,.24365,.0047809,.003916,.0008991,.0011541,.0006064
"model_baseline","mediumskill","disposable(family)","sample_baseline",51,.89,.027141,.031924,.0076324,.24365,.0047809,.003916,.0008991,.0011458,.0007546
"model_baseline","mediumskill","disposable(family)","sample_baseline",52,.89,.027141,.032844,.0077463,.24365,.0047809,.003916,.0008991,.0010481,.0006008
"model_baseline","mediumskill","disposable(family)","sample_baseline",53,.89,.027141,.03395,.0068387,.24365,.0047809,.003916,.0008991,.0009084,.0006985
"model_baseline","mediumskill","disposable(family)","sample_baseline",54,.89,.027141,.033918,.0086814,.24365,.0047809,.003916,.0008991,.0010591,.0010461
"model_baseline","mediumskill","disposable(family)","sample_baseline",55,.89,.027141,.035713,.0075776,.24365,.0047809,.003916,.0008991,.0011604,.0009449
"model_baseline","mediumskill","disposable(family)","sample_baseline",56,.89,.027141,.037661,.0083259,.24365,.0047809,.003916,.0008991,.0014924,.0009366
"model_baseline","mediumskill","disposable(family)","sample_baseline",57,.89,.027141,.045164,.0036952,.24365,.0047809,.003916,.0008991,.0014801,.0009312
"model_baseline","mediumskill","disposable(family)","sample_baseline",58,.89,.027141,.060605,.0045472,.24365,.0047809,.003916,.0008991,.0019909,.0012852
"model_baseline","mediumskill","disposable(family)","sample_baseline",59,.89,.027141,.06078,.009009,.24365,.0047809,.003916,.0008991,.0022694,.0014562
"model_baseline","mediumskill","disposable(family)","sample_baseline",60,.89,.027141,.06078,.009009,.24365,.0047809,.003916,.0008991,.0022694,.0014562
"model_baseline","mediumskill","market","sample_baseline",26,1,,.12981,.072653,.25884,0,.0028949,,.0038285,.0023869
"model_baseline","mediumskill","market","sample_baseline",27,1,,.10136,.065263,.25884,0,.0028949,,.0018072,.0018545
"model_baseline","mediumskill","market","sample_baseline",28,1,,.11467,.056364,.25884,0,.0028949,,.0022907,.0016316
"model_baseline","mediumskill","market","sample_baseline",29,1,,.10615,.04896,.25884,0,.0028949,,.0022925,.0014923
"model_baseline","mediumskill","market","sample_baseline",30,1,,.099221,.043781,.25884,0,.0028949,,.0016565,.0013899
"model_baseline","mediumskill","market","sample_baseline",31,1,,.095099,.037824,.25884,0,.0028949,,.0021608,.0012342
"model_baseline","mediumskill","market","sample_baseline",32,1,,.093634,.036607,.25884,0,.0028949,,.0020133,.0015177
"model_baseline","mediumskill","market","sample_baseline",33,1,,.093224,.035277,.25884,0,.0028949,,.0019988,.0014498
"model_baseline","mediumskill","market","sample_baseline",34,1,,.096436,.033757,.25884,0,.0028949,,.0021059,.00138
"model_baseline","mediumskill","market","sample_baseline",35,1,,.090571,.031393,.25884,0,.0028949,,.0017749,.001238
"model_baseline","mediumskill","market","sample_baseline",36,1,,.099288,.027941,.25884,0,.0028949,,.0022792,.001192
"model_baseline","mediumskill","market","sample_baseline",37,1,,.094472,.034391,.25884,0,.0028949,,.0021829,.0012623
"model_baseline","mediumskill","market","sample_baseline",38,1,,.091159,.031712,.25884,0,.0028949,,.0022861,.001371
"model_baseline","mediumskill","market","sample_baseline",39,1,,.095211,.030726,.25884,0,.0028949,,.0020845,.0013355
"model_baseline","mediumskill","market","sample_baseline",40,1,,.09626,.030285,.25884,0,.0028949,,.0024259,.0013666
"model_baseline","mediumskill","market","sample_baseline",41,1,,.089299,.027903,.25884,0,.0028949,,.0018455,.0013781
"model_baseline","mediumskill","market","sample_baseline",42,1,,.089704,.028614,.25884,0,.0028949,,.0018526,.0012079
"model_baseline","mediumskill","market","sample_baseline",43,1,,.087241,.029231,.25884,0,.0028949,,.0018954,.0012685
"model_baseline","mediumskill","market","sample_baseline",44,1,,.093608,.0279,.25884,0,.0028949,,.0026681,.0013557
"model_baseline","mediumskill","market","sample_baseline",45,1,,.098778,.024979,.25884,0,.0028949,,.0024965,.0011961
"model_baseline","mediumskill","market","sample_baseline",46,1,,.10176,.024165,.25884,0,.0028949,,.0025628,.0011896
"model_baseline","mediumskill","market","sample_baseline",47,1,,.10233,.023515,.25884,0,.0028949,,.0026,.0013576
"model_baseline","mediumskill","market","sample_baseline",48,1,,.10379,.022175,.25884,0,.0028949,,.0025124,.001113
"model_baseline","mediumskill","market","sample_baseline",49,1,,.10416,.022686,.25884,0,.0028949,,.0024835,.0012505
"model_baseline","mediumskill","market","sample_baseline",50,1,,.11927,.019365,.25884,0,.0028949,,.0031203,.0016264
"model_baseline","mediumskill","market","sample_baseline",51,1,,.12347,.016643,.25884,0,.0028949,,.002936,.0015055
"model_baseline","mediumskill","market","sample_baseline",52,1,,.13121,.015172,.25884,0,.0028949,,.0030167,.0011084
"model_baseline","mediumskill","market","sample_baseline",53,1,,.1459,.012283,.25884,0,.0028949,,.0031267,.0014689
"model_baseline","mediumskill","market","sample_baseline",54,1,,.15395,.012935,.25884,0,.0028949,,.0032852,.0016647
"model_baseline","mediumskill","market","sample_baseline",55,1,,.14542,.0054383,.25884,0,.0028949,,.0030539,.0015885
"model_baseline","mediumskill","market","sample_baseline",56,1,,.16515,.0057183,.25884,0,.0028949,,.0031426,.0018394
"model_baseline","mediumskill","market","sample_baseline",57,1,,.19335,1.67e-06,.25884,0,.0028949,,.0038055,4.93e-07
"model_baseline","mediumskill","market","sample_baseline",58,1,,.27086,9.36e-07,.25884,0,.0028949,,.0043381,1.76e-07
"model_baseline","mediumskill","market","sample_baseline",59,1,,.29536,4.89e-06,.25884,0,.0028949,,.0038523,.0001129
"model_baseline","mediumskill","market","sample_baseline",60,1,,.29536,4.89e-06,.25884,0,.0028949,,.0038523,.0001129
"model_baseline","pooled","disposable","sample_baseline",26,.85,.035644,.08522,.070025,.25087,.0041329,.0023885,.0004826,.0016731,.0014394
"model_baseline","pooled","disposable","sample_baseline",27,.85,.035644,.067764,.056546,.25087,.0041329,.0023885,.0004826,.0007478,.0009318
"model_baseline","pooled","disposable","sample_baseline",28,.85,.035644,.068187,.044914,.25087,.0041329,.0023885,.0004826,.0009082,.0009436
"model_baseline","pooled","disposable","sample_baseline",29,.85,.035644,.058607,.03556,.25087,.0041329,.0023885,.0004826,.0008749,.0008619
"model_baseline","pooled","disposable","sample_baseline",30,.85,.035644,.051874,.028543,.25087,.0041329,.0023885,.0004826,.0008043,.0007605
"model_baseline","pooled","disposable","sample_baseline",31,.85,.035644,.049557,.0231,.25087,.0041329,.0023885,.0004826,.0007177,.0006258
"model_baseline","pooled","disposable","sample_baseline",32,.85,.035644,.045224,.021515,.25087,.0041329,.0023885,.0004826,.0008453,.0006978
"model_baseline","pooled","disposable","sample_baseline",33,.85,.035644,.043998,.019707,.25087,.0041329,.0023885,.0004826,.0006423,.0006078
"model_baseline","pooled","disposable","sample_baseline",34,.85,.035644,.043099,.017411,.25087,.0041329,.0023885,.0004826,.0006635,.0005623
"model_baseline","pooled","disposable","sample_baseline",35,.85,.035644,.043918,.01516,.25087,.0041329,.0023885,.0004826,.0007036,.0005553
"model_baseline","pooled","disposable","sample_baseline",36,.85,.035644,.045413,.015141,.25087,.0041329,.0023885,.0004826,.0007728,.0006835
"model_baseline","pooled","disposable","sample_baseline",37,.85,.035644,.043486,.016942,.25087,.0041329,.0023885,.0004826,.00071,.000638
"model_baseline","pooled","disposable","sample_baseline",38,.85,.035644,.042955,.016307,.25087,.0041329,.0023885,.0004826,.0007034,.0004155
"model_baseline","pooled","disposable","sample_baseline",39,.85,.035644,.042314,.015369,.25087,.0041329,.0023885,.0004826,.000646,.0005774
"model_baseline","pooled","disposable","sample_baseline",40,.85,.035644,.041634,.016283,.25087,.0041329,.0023885,.0004826,.0006962,.0006083
"model_baseline","pooled","disposable","sample_baseline",41,.85,.035644,.04135,.01566,.25087,.0041329,.0023885,.0004826,.0006781,.0004832
"model_baseline","pooled","disposable","sample_baseline",42,.85,.035644,.0412,.015622,.25087,.0041329,.0023885,.0004826,.0006485,.0005236
"model_baseline","pooled","disposable","sample_baseline",43,.85,.035644,.041254,.015766,.25087,.0041329,.0023885,.0004826,.0007332,.0006079
"model_baseline","pooled","disposable","sample_baseline",44,.85,.035644,.042633,.01546,.25087,.0041329,.0023885,.0004826,.0007709,.0006384
"model_baseline","pooled","disposable","sample_baseline",45,.85,.035644,.045858,.013828,.25087,.0041329,.0023885,.0004826,.0008774,.000657
"model_baseline","pooled","disposable","sample_baseline",46,.85,.035644,.047169,.013714,.25087,.0041329,.0023885,.0004826,.0007444,.00058
"model_baseline","pooled","disposable","sample_baseline",47,.85,.035644,.048449,.013431,.25087,.0041329,.0023885,.0004826,.0009855,.0006847
"model_baseline","pooled","disposable","sample_baseline",48,.85,.035644,.051099,.012844,.25087,.0041329,.0023885,.0004826,.0008789,.0006056
"model_baseline","pooled","disposable","sample_baseline",49,.85,.035644,.051197,.013594,.25087,.0041329,.0023885,.0004826,.0010231,.0007323
"model_baseline","pooled","disposable","sample_baseline",50,.85,.035644,.053241,.012939,.25087,.0041329,.0023885,.0004826,.0010941,.0007871
"model_baseline","pooled","disposable","sample_baseline",51,.85,.035644,.056929,.01156,.25087,.0041329,.0023885,.0004826,.0010083,.0009379
"model_baseline","pooled","disposable","sample_baseline",52,.85,.035644,.059716,.010904,.25087,.0041329,.0023885,.0004826,.0010925,.000719
"model_baseline","pooled","disposable","sample_baseline",53,.85,.035644,.061997,.011582,.25087,.0041329,.0023885,.0004826,.00153,.0009497
"model_baseline","pooled","disposable","sample_baseline",54,.85,.035644,.06369,.010907,.25087,.0041329,.0023885,.0004826,.0013787,.0009565
"model_baseline","pooled","disposable","sample_baseline",55,.85,.035644,.070068,.01128,.25087,.0041329,.0023885,.0004826,.0013657,.0010632
"model_baseline","pooled","disposable","sample_baseline",56,.85,.035644,.074671,.012741,.25087,.0041329,.0023885,.0004826,.0017435,.0010891
"model_baseline","pooled","disposable","sample_baseline",57,.85,.035644,.087852,.0062536,.25087,.0041329,.0023885,.0004826,.0016334,.0011262
"model_baseline","pooled","disposable","sample_baseline",58,.85,.035644,.12759,.0027405,.25087,.0041329,.0023885,.0004826,.0021321,.0014095
"model_baseline","pooled","disposable","sample_baseline",59,.85,.035644,.12594,.013466,.25087,.0041329,.0023885,.0004826,.0024021,.001704
"model_baseline","pooled","disposable","sample_baseline",60,.85,.035644,.12594,.013466,.25087,.0041329,.0023885,.0004826,.0024021,.001704
"model_baseline","pooled","disposable(family)","sample_baseline",26,.86,.031509,.081754,.059126,.25193,.0049615,.0026725,.0004728,.0014958,.0012851
"model_baseline","pooled","disposable(family)","sample_baseline",27,.86,.031509,.063535,.046398,.25193,.0049615,.0026725,.0004728,.0007111,.000739
"model_baseline","pooled","disposable(family)","sample_baseline",28,.86,.031509,.060369,.037344,.25193,.0049615,.0026725,.0004728,.0007569,.0008759
"model_baseline","pooled","disposable(family)","sample_baseline",29,.86,.031509,.051409,.029165,.25193,.0049615,.0026725,.0004728,.0007423,.0007471
"model_baseline","pooled","disposable(family)","sample_baseline",30,.86,.031509,.045444,.024146,.25193,.0049615,.0026725,.0004728,.0007374,.0006956
"model_baseline","pooled","disposable(family)","sample_baseline",31,.86,.031509,.042208,.020077,.25193,.0049615,.0026725,.0004728,.000635,.0005694
"model_baseline","pooled","disposable(family)","sample_baseline",32,.86,.031509,.038899,.018137,.25193,.0049615,.0026725,.0004728,.0007643,.0005763
"model_baseline","pooled","disposable(family)","sample_baseline",33,.86,.031509,.03727,.016444,.25193,.0049615,.0026725,.0004728,.0005244,.0006033
"model_baseline","pooled","disposable(family)","sample_baseline",34,.86,.031509,.036646,.014334,.25193,.0049615,.0026725,.0004728,.0006538,.0005169
"model_baseline","pooled","disposable(family)","sample_baseline",35,.86,.031509,.036008,.012494,.25193,.0049615,.0026725,.0004728,.0006155,.0004461
"model_baseline","pooled","disposable(family)","sample_baseline",36,.86,.031509,.03636,.012272,.25193,.0049615,.0026725,.0004728,.000662,.0005875
"model_baseline","pooled","disposable(family)","sample_baseline",37,.86,.031509,.034148,.013834,.25193,.0049615,.0026725,.0004728,.0006515,.0005412
"model_baseline","pooled","disposable(family)","sample_baseline",38,.86,.031509,.033699,.013087,.25193,.0049615,.0026725,.0004728,.0006368,.0004584
"model_baseline","pooled","disposable(family)","sample_baseline",39,.86,.031509,.032554,.012169,.25193,.0049615,.0026725,.0004728,.000495,.0004637
"model_baseline","pooled","disposable(family)","sample_baseline",40,.86,.031509,.031671,.012285,.25193,.0049615,.0026725,.0004728,.0006403,.0005179
"model_baseline","pooled","disposable(family)","sample_baseline",41,.86,.031509,.031047,.011865,.25193,.0049615,.0026725,.0004728,.0005607,.0005179
"model_baseline","pooled","disposable(family)","sample_baseline",42,.86,.031509,.03088,.012205,.25193,.0049615,.0026725,.0004728,.0005226,.0005053
"model_baseline","pooled","disposable(family)","sample_baseline",43,.86,.031509,.030844,.011786,.25193,.0049615,.0026725,.0004728,.0006571,.0005912
"model_baseline","pooled","disposable(family)","sample_baseline",44,.86,.031509,.031395,.010933,.25193,.0049615,.0026725,.0004728,.0006492,.0005158
"model_baseline","pooled","disposable(family)","sample_baseline",45,.86,.031509,.032601,.0099868,.25193,.0049615,.0026725,.0004728,.0006457,.0004781
"model_baseline","pooled","disposable(family)","sample_baseline",46,.86,.031509,.032944,.0097498,.25193,.0049615,.0026725,.0004728,.000693,.0005443
"model_baseline","pooled","disposable(family)","sample_baseline",47,.86,.031509,.033171,.0099514,.25193,.0049615,.0026725,.0004728,.0007289,.0005618
"model_baseline","pooled","disposable(family)","sample_baseline",48,.86,.031509,.034468,.009028,.25193,.0049615,.0026725,.0004728,.0007035,.0005399
"model_baseline","pooled","disposable(family)","sample_baseline",49,.86,.031509,.033395,.0092681,.25193,.0049615,.0026725,.0004728,.0007904,.0005701
"model_baseline","pooled","disposable(family)","sample_baseline",50,.86,.031509,.033735,.0088808,.25193,.0049615,.0026725,.0004728,.0008389,.0005519
"model_baseline","pooled","disposable(family)","sample_baseline",51,.86,.031509,.035468,.007613,.25193,.0049615,.0026725,.0004728,.00083,.0006558
"model_baseline","pooled","disposable(family)","sample_baseline",52,.86,.031509,.036833,.00759,.25193,.0049615,.0026725,.0004728,.0008622,.0005351
"model_baseline","pooled","disposable(family)","sample_baseline",53,.86,.031509,.036583,.0074589,.25193,.0049615,.0026725,.0004728,.000866,.0006186
"model_baseline","pooled","disposable(family)","sample_baseline",54,.86,.031509,.036814,.0071552,.25193,.0049615,.0026725,.0004728,.0009802,.0006827
"model_baseline","pooled","disposable(family)","sample_baseline",55,.86,.031509,.039489,.0069648,.25193,.0049615,.0026725,.0004728,.0008937,.0007289
"model_baseline","pooled","disposable(family)","sample_baseline",56,.86,.031509,.041895,.0066579,.25193,.0049615,.0026725,.0004728,.0010653,.0006795
"model_baseline","pooled","disposable(family)","sample_baseline",57,.86,.031509,.047446,.0050757,.25193,.0049615,.0026725,.0004728,.0011944,.0007928
"model_baseline","pooled","disposable(family)","sample_baseline",58,.86,.031509,.060624,.0032065,.25193,.0049615,.0026725,.0004728,.0012108,.0009698
"model_baseline","pooled","disposable(family)","sample_baseline",59,.86,.031509,.06119,.0081262,.25193,.0049615,.0026725,.0004728,.001643,.0011335
"model_baseline","pooled","disposable(family)","sample_baseline",60,.86,.031509,.06119,.0081262,.25193,.0049615,.0026725,.0004728,.001643,.0011335
"model_baseline","pooled","market","sample_baseline",26,1,,.16994,.11202,.27147,0,.0017842,,.0029534,.0020897
"model_baseline","pooled","market","sample_baseline",27,1,,.13615,.097474,.27147,0,.0017842,,.0012105,.0014868
"model_baseline","pooled","market","sample_baseline",28,1,,.14491,.080339,.27147,0,.0017842,,.0016658,.0011891
"model_baseline","pooled","market","sample_baseline",29,1,,.12615,.066888,.27147,0,.0017842,,.0015538,.0013085
"model_baseline","pooled","market","sample_baseline",30,1,,.1164,.05794,.27147,0,.0017842,,.0014591,.0011341
"model_baseline","pooled","market","sample_baseline",31,1,,.10652,.050102,.27147,0,.0017842,,.0013993,.0010543
"model_baseline","pooled","market","sample_baseline",32,1,,.098912,.047284,.27147,0,.0017842,,.001252,.0009761
"model_baseline","pooled","market","sample_baseline",33,1,,.094554,.043953,.27147,0,.0017842,,.0012158,.0009444
"model_baseline","pooled","market","sample_baseline",34,1,,.095143,.041921,.27147,0,.0017842,,.0014649,.0010063
"model_baseline","pooled","market","sample_baseline",35,1,,.091696,.039225,.27147,0,.0017842,,.0011781,.000802
"model_baseline","pooled","market","sample_baseline",36,1,,.096223,.036844,.27147,0,.0017842,,.0015103,.0009373
"model_baseline","pooled","market","sample_baseline",37,1,,.092684,.039594,.27147,0,.0017842,,.0012645,.0009008
"model_baseline","pooled","market","sample_baseline",38,1,,.092119,.037426,.27147,0,.0017842,,.001602,.0009087
"model_baseline","pooled","market","sample_baseline",39,1,,.092374,.036183,.27147,0,.0017842,,.0013124,.0008807
"model_baseline","pooled","market","sample_baseline",40,1,,.091514,.036617,.27147,0,.0017842,,.0014008,.0008401
"model_baseline","pooled","market","sample_baseline",41,1,,.087799,.034431,.27147,0,.0017842,,.0013405,.000882
"model_baseline","pooled","market","sample_baseline",42,1,,.087567,.034113,.27147,0,.0017842,,.0014271,.0007717
"model_baseline","pooled","market","sample_baseline",43,1,,.087463,.033932,.27147,0,.0017842,,.001285,.0007433
"model_baseline","pooled","market","sample_baseline",44,1,,.091951,.032745,.27147,0,.0017842,,.0014693,.0009281
"model_baseline","pooled","market","sample_baseline",45,1,,.09768,.030785,.27147,0,.0017842,,.0015838,.0008861
"model_baseline","pooled","market","sample_baseline",46,1,,.10013,.029113,.27147,0,.0017842,,.001654,.000687
"model_baseline","pooled","market","sample_baseline",47,1,,.10241,.027434,.27147,0,.0017842,,.0016452,.0008391
"model_baseline","pooled","market","sample_baseline",48,1,,.10604,.025538,.27147,0,.0017842,,.0016507,.0008567
"model_baseline","pooled","market","sample_baseline",49,1,,.1093,.025468,.27147,0,.0017842,,.0014481,.0007711
"model_baseline","pooled","market","sample_baseline",50,1,,.11697,.024147,.27147,0,.0017842,,.0018725,.0010537
"model_baseline","pooled","market","sample_baseline",51,1,,.12447,.019104,.27147,0,.0017842,,.0018736,.0010866
"model_baseline","pooled","market","sample_baseline",52,1,,.13699,.017243,.27147,0,.0017842,,.0018633,.0009131
