model,education,income,sample,age,rho,var_alpha,sigma2,omega2,theta,sterr_rho,sterr_theta,sterr_var_alpha,sterr_sigma2,sterr_omega2
"model_baseline","highskill","disposable(family)","sample_baseline",36,.85,.030992,.024809,.0091123,.27816,.0106517,.0056654,.0008683,.0010164,.0007858
"model_baseline","highskill","disposable(family)","sample_baseline",37,.85,.030992,.023367,.0087847,.27816,.0106517,.0056654,.0008683,.0007698,.0006223
"model_baseline","highskill","disposable(family)","sample_baseline",38,.85,.030992,.022514,.0085923,.27816,.0106517,.0056654,.0008683,.000852,.0007338
"model_baseline","highskill","disposable(family)","sample_baseline",39,.85,.030992,.021565,.0077355,.27816,.0106517,.0056654,.0008683,.0006526,.0008346
"model_baseline","highskill","disposable(family)","sample_baseline",40,.85,.030992,.020767,.0070776,.27816,.0106517,.0056654,.0008683,.0008409,.0005908
"model_baseline","highskill","disposable(family)","sample_baseline",41,.85,.030992,.021404,.0061561,.27816,.0106517,.0056654,.0008683,.000725,.0006456
"model_baseline","highskill","disposable(family)","sample_baseline",42,.85,.030992,.019184,.0074739,.27816,.0106517,.0056654,.0008683,.0007244,.0007247
"model_baseline","highskill","disposable(family)","sample_baseline",43,.85,.030992,.020417,.0062283,.27816,.0106517,.0056654,.0008683,.0008003,.0007755
"model_baseline","highskill","disposable(family)","sample_baseline",44,.85,.030992,.019839,.0059114,.27816,.0106517,.0056654,.0008683,.0008334,.0006717
"model_baseline","highskill","disposable(family)","sample_baseline",45,.85,.030992,.021225,.004482,.27816,.0106517,.0056654,.0008683,.0009619,.0007164
"model_baseline","highskill","disposable(family)","sample_baseline",46,.85,.030992,.022691,.0049198,.27816,.0106517,.0056654,.0008683,.0010129,.0007318
"model_baseline","highskill","disposable(family)","sample_baseline",47,.85,.030992,.021081,.0049042,.27816,.0106517,.0056654,.0008683,.000908,.0007318
"model_baseline","highskill","disposable(family)","sample_baseline",48,.85,.030992,.022236,.0035954,.27816,.0106517,.0056654,.0008683,.0009947,.0006708
"model_baseline","highskill","disposable(family)","sample_baseline",49,.85,.030992,.023821,.0050584,.27816,.0106517,.0056654,.0008683,.000947,.0007093
"model_baseline","highskill","disposable(family)","sample_baseline",50,.85,.030992,.022572,.0052976,.27816,.0106517,.0056654,.0008683,.0012168,.0009142
"model_baseline","highskill","disposable(family)","sample_baseline",51,.85,.030992,.024589,.0046626,.27816,.0106517,.0056654,.0008683,.0012809,.0009057
"model_baseline","highskill","disposable(family)","sample_baseline",52,.85,.030992,.023667,.0054233,.27816,.0106517,.0056654,.0008683,.0014344,.0011837
"model_baseline","highskill","disposable(family)","sample_baseline",53,.85,.030992,.024161,.0045718,.27816,.0106517,.0056654,.0008683,.0011892,.0009057
"model_baseline","highskill","disposable(family)","sample_baseline",54,.85,.030992,.025618,.0026081,.27816,.0106517,.0056654,.0008683,.0015543,.0008437
"model_baseline","highskill","disposable(family)","sample_baseline",55,.85,.030992,.029625,.001701,.27816,.0106517,.0056654,.0008683,.0017313,.0011892
"model_baseline","highskill","disposable(family)","sample_baseline",56,.85,.030992,.031202,.0026369,.27816,.0106517,.0056654,.0008683,.0018823,.0012189
"model_baseline","highskill","disposable(family)","sample_baseline",57,.85,.030992,.033566,.0042499,.27816,.0106517,.0056654,.0008683,.001877,.0018556
"model_baseline","highskill","disposable(family)","sample_baseline",58,.85,.030992,.046859,6.98e-06,.27816,.0106517,.0056654,.0008683,.0021258,2.37e-06
"model_baseline","highskill","disposable(family)","sample_baseline",59,.85,.030992,.046698,.0053434,.27816,.0106517,.0056654,.0008683,.0025281,.0022635
"model_baseline","highskill","disposable(family)","sample_baseline",60,.85,.030992,.046698,.0053434,.27816,.0106517,.0056654,.0008683,.0025281,.0022635
"model_baseline","highskill","market","sample_baseline",26,.98,.000152,.27276,.21271,.29465,.0139809,.0049582,.0000427,.0116216,.0080804
"model_baseline","highskill","market","sample_baseline",27,.98,.000152,.21348,.16216,.29465,.0139809,.0049582,.0000427,.0070181,.0041708
"model_baseline","highskill","market","sample_baseline",28,.98,.000152,.19036,.1085,.29465,.0139809,.0049582,.0000427,.0066078,.0037106
"model_baseline","highskill","market","sample_baseline",29,.98,.000152,.15457,.078367,.29465,.0139809,.0049582,.0000427,.0067281,.0031313
"model_baseline","highskill","market","sample_baseline",30,.98,.000152,.13439,.054957,.29465,.0139809,.0049582,.0000427,.0050346,.0027801
"model_baseline","highskill","market","sample_baseline",31,.98,.000152,.1093,.043316,.29465,.0139809,.0049582,.0000427,.004044,.0021564
"model_baseline","highskill","market","sample_baseline",32,.98,.000152,.086261,.040225,.29465,.0139809,.0049582,.0000427,.0030447,.0021438
"model_baseline","highskill","market","sample_baseline",33,.98,.000152,.077298,.030766,.29465,.0139809,.0049582,.0000427,.0028865,.0015869
"model_baseline","highskill","market","sample_baseline",34,.98,.000152,.068607,.029399,.29465,.0139809,.0049582,.0000427,.0026577,.0016527
"model_baseline","highskill","market","sample_baseline",35,.98,.000152,.062608,.027272,.29465,.0139809,.0049582,.0000427,.0020035,.0017414
"model_baseline","highskill","market","sample_baseline",36,.98,.000152,.057603,.02377,.29465,.0139809,.0049582,.0000427,.0020377,.0015475
"model_baseline","highskill","market","sample_baseline",37,.98,.000152,.054654,.022871,.29465,.0139809,.0049582,.0000427,.0016715,.0011629
"model_baseline","highskill","market","sample_baseline",38,.98,.000152,.053889,.025101,.29465,.0139809,.0049582,.0000427,.0019865,.001501
"model_baseline","highskill","market","sample_baseline",39,.98,.000152,.052689,.021061,.29465,.0139809,.0049582,.0000427,.0017986,.0013166
"model_baseline","highskill","market","sample_baseline",40,.98,.000152,.049539,.0238,.29465,.0139809,.0049582,.0000427,.0021774,.0012229
"model_baseline","highskill","market","sample_baseline",41,.98,.000152,.047978,.022559,.29465,.0139809,.0049582,.0000427,.0016768,.0013115
"model_baseline","highskill","market","sample_baseline",42,.98,.000152,.046495,.024173,.29465,.0139809,.0049582,.0000427,.0018644,.0014695
"model_baseline","highskill","market","sample_baseline",43,.98,.000152,.04704,.02162,.29465,.0139809,.0049582,.0000427,.0015835,.0018269
"model_baseline","highskill","market","sample_baseline",44,.98,.000152,.047454,.022683,.29465,.0139809,.0049582,.0000427,.0019218,.0014917
"model_baseline","highskill","market","sample_baseline",45,.98,.000152,.05412,.019718,.29465,.0139809,.0049582,.0000427,.0022415,.0017384
"model_baseline","highskill","market","sample_baseline",46,.98,.000152,.053371,.019237,.29465,.0139809,.0049582,.0000427,.002139,.0016467
"model_baseline","highskill","market","sample_baseline",47,.98,.000152,.051314,.018056,.29465,.0139809,.0049582,.0000427,.0022748,.0012758
"model_baseline","highskill","market","sample_baseline",48,.98,.000152,.053592,.019362,.29465,.0139809,.0049582,.0000427,.0019753,.0014939
"model_baseline","highskill","market","sample_baseline",49,.98,.000152,.05656,.020768,.29465,.0139809,.0049582,.0000427,.0023073,.0018556
"model_baseline","highskill","market","sample_baseline",50,.98,.000152,.054957,.024655,.29465,.0139809,.0049582,.0000427,.0026615,.0019467
"model_baseline","highskill","market","sample_baseline",51,.98,.000152,.052494,.021811,.29465,.0139809,.0049582,.0000427,.0026319,.0020233
"model_baseline","highskill","market","sample_baseline",52,.98,.000152,.061933,.019153,.29465,.0139809,.0049582,.0000427,.0029694,.0018289
"model_baseline","highskill","market","sample_baseline",53,.98,.000152,.063635,.020111,.29465,.0139809,.0049582,.0000427,.003259,.0025196
"model_baseline","highskill","market","sample_baseline",54,.98,.000152,.070385,.014625,.29465,.0139809,.0049582,.0000427,.003369,.0021346
"model_baseline","highskill","market","sample_baseline",55,.98,.000152,.080571,.011856,.29465,.0139809,.0049582,.0000427,.0034472,.0021977
"model_baseline","highskill","market","sample_baseline",56,.98,.000152,.089544,.0097464,.29465,.0139809,.0049582,.0000427,.0043836,.0021074
"model_baseline","highskill","market","sample_baseline",57,.98,.000152,.10532,.0044468,.29465,.0139809,.0049582,.0000427,.0040928,.0025131
"model_baseline","highskill","market","sample_baseline",58,.98,.000152,.146,1.46e-06,.29465,.0139809,.0049582,.0000427,.0047982,2.23e-07
"model_baseline","highskill","market","sample_baseline",59,.98,.000152,.16312,.0068961,.29465,.0139809,.0049582,.0000427,.0053061,.0040197
"model_baseline","highskill","market","sample_baseline",60,.98,.000152,.16312,.0068961,.29465,.0139809,.0049582,.0000427,.0053061,.0040197
"model_baseline","lowskill","disposable","sample_baseline",26,.87,.03536,.040446,.045677,.21522,.0062868,.0046382,.0012341,.0024226,.0016914
"model_baseline","lowskill","disposable","sample_baseline",27,.87,.03536,.036952,.044171,.21522,.0062868,.0046382,.0012341,.0014143,.0016136
"model_baseline","lowskill","disposable","sample_baseline",28,.87,.03536,.0566,.041834,.21522,.0062868,.0046382,.0012341,.0018621,.0016711
"model_baseline","lowskill","disposable","sample_baseline",29,.87,.03536,.054609,.034181,.21522,.0062868,.0046382,.0012341,.0019205,.0014908
"model_baseline","lowskill","disposable","sample_baseline",30,.87,.03536,.055015,.032479,.21522,.0062868,.0046382,.0012341,.0017513,.0014931
"model_baseline","lowskill","disposable","sample_baseline",31,.87,.03536,.060791,.027095,.21522,.0062868,.0046382,.0012341,.001461,.0014291
"model_baseline","lowskill","disposable","sample_baseline",32,.87,.03536,.058298,.027976,.21522,.0062868,.0046382,.0012341,.0019684,.0014055
"model_baseline","lowskill","disposable","sample_baseline",33,.87,.03536,.059283,.027472,.21522,.0062868,.0046382,.0012341,.0014274,.0014941
"model_baseline","lowskill","disposable","sample_baseline",34,.87,.03536,.061222,.0238,.21522,.0062868,.0046382,.0012341,.0017738,.0012568
"model_baseline","lowskill","disposable","sample_baseline",35,.87,.03536,.064146,.022336,.21522,.0062868,.0046382,.0012341,.0017285,.0013385
"model_baseline","lowskill","disposable","sample_baseline",36,.87,.03536,.070453,.022579,.21522,.0062868,.0046382,.0012341,.0019649,.001421
"model_baseline","lowskill","disposable","sample_baseline",37,.87,.03536,.067761,.023608,.21522,.0062868,.0046382,.0012341,.0018689,.0013847
"model_baseline","lowskill","disposable","sample_baseline",38,.87,.03536,.06834,.023333,.21522,.0062868,.0046382,.0012341,.0015498,.001202
"model_baseline","lowskill","disposable","sample_baseline",39,.87,.03536,.066021,.023389,.21522,.0062868,.0046382,.0012341,.0016423,.0013891
"model_baseline","lowskill","disposable","sample_baseline",40,.87,.03536,.065096,.023959,.21522,.0062868,.0046382,.0012341,.0017643,.0015983
"model_baseline","lowskill","disposable","sample_baseline",41,.87,.03536,.065304,.022855,.21522,.0062868,.0046382,.0012341,.0016048,.0013964
"model_baseline","lowskill","disposable","sample_baseline",42,.87,.03536,.065559,.020926,.21522,.0062868,.0046382,.0012341,.0018691,.0012587
"model_baseline","lowskill","disposable","sample_baseline",43,.87,.03536,.065106,.022492,.21522,.0062868,.0046382,.0012341,.0016997,.0011173
"model_baseline","lowskill","disposable","sample_baseline",44,.87,.03536,.067213,.023665,.21522,.0062868,.0046382,.0012341,.0020597,.0015221
"model_baseline","lowskill","disposable","sample_baseline",45,.87,.03536,.070075,.022036,.21522,.0062868,.0046382,.0012341,.0023877,.0016976
"model_baseline","lowskill","disposable","sample_baseline",46,.87,.03536,.072129,.021046,.21522,.0062868,.0046382,.0012341,.002355,.0016835
"model_baseline","lowskill","disposable","sample_baseline",47,.87,.03536,.073417,.020458,.21522,.0062868,.0046382,.0012341,.0019275,.0016308
"model_baseline","lowskill","disposable","sample_baseline",48,.87,.03536,.079641,.0182,.21522,.0062868,.0046382,.0012341,.0020395,.0015544
"model_baseline","lowskill","disposable","sample_baseline",49,.87,.03536,.080177,.018981,.21522,.0062868,.0046382,.0012341,.0021182,.0015533
"model_baseline","lowskill","disposable","sample_baseline",50,.87,.03536,.078892,.018236,.21522,.0062868,.0046382,.0012341,.0025236,.0017802
"model_baseline","lowskill","disposable","sample_baseline",51,.87,.03536,.085844,.016618,.21522,.0062868,.0046382,.0012341,.0027883,.0021082
"model_baseline","lowskill","disposable","sample_baseline",52,.87,.03536,.091818,.016547,.21522,.0062868,.0046382,.0012341,.0025161,.002191
"model_baseline","lowskill","disposable","sample_baseline",53,.87,.03536,.090242,.018958,.21522,.0062868,.0046382,.0012341,.0029698,.0024474
"model_baseline","lowskill","disposable","sample_baseline",54,.87,.03536,.089026,.017604,.21522,.0062868,.0046382,.0012341,.0030038,.0020362
"model_baseline","lowskill","disposable","sample_baseline",55,.87,.03536,.096913,.018473,.21522,.0062868,.0046382,.0012341,.0030458,.0022768
"model_baseline","lowskill","disposable","sample_baseline",56,.87,.03536,.10211,.02049,.21522,.0062868,.0046382,.0012341,.0037915,.0021559
"model_baseline","lowskill","disposable","sample_baseline",57,.87,.03536,.11064,.01751,.21522,.0062868,.0046382,.0012341,.0037956,.002636
"model_baseline","lowskill","disposable","sample_baseline",58,.87,.03536,.12634,.016457,.21522,.0062868,.0046382,.0012341,.0032274,.0024952
"model_baseline","lowskill","disposable","sample_baseline",59,.87,.03536,.13146,.023333,.21522,.0062868,.0046382,.0012341,.0043051,.0029209
"model_baseline","lowskill","disposable","sample_baseline",60,.87,.03536,.13146,.023333,.21522,.0062868,.0046382,.0012341,.0043051,.0029209
"model_baseline","lowskill","disposable(family)","sample_baseline",26,.87,.034113,.041473,.041415,.20782,.0037632,.0048111,.0010177,.002187,.0015975
"model_baseline","lowskill","disposable(family)","sample_baseline",27,.87,.034113,.037734,.040523,.20782,.0037632,.0048111,.0010177,.0012506,.001479
"model_baseline","lowskill","disposable(family)","sample_baseline",28,.87,.034113,.05342,.037936,.20782,.0037632,.0048111,.0010177,.0017045,.0015658
"model_baseline","lowskill","disposable(family)","sample_baseline",29,.87,.034113,.049866,.030507,.20782,.0037632,.0048111,.0010177,.0016183,.001306
"model_baseline","lowskill","disposable(family)","sample_baseline",30,.87,.034113,.051043,.028618,.20782,.0037632,.0048111,.0010177,.0015155,.0012987
"model_baseline","lowskill","disposable(family)","sample_baseline",31,.87,.034113,.053941,.023786,.20782,.0037632,.0048111,.0010177,.0013475,.0012644
"model_baseline","lowskill","disposable(family)","sample_baseline",32,.87,.034113,.052277,.02381,.20782,.0037632,.0048111,.0010177,.0016773,.0012195
"model_baseline","lowskill","disposable(family)","sample_baseline",33,.87,.034113,.051972,.022414,.20782,.0037632,.0048111,.0010177,.0011551,.0012757
"model_baseline","lowskill","disposable(family)","sample_baseline",34,.87,.034113,.053812,.019446,.20782,.0037632,.0048111,.0010177,.0017053,.0012003
"model_baseline","lowskill","disposable(family)","sample_baseline",35,.87,.034113,.05448,.017923,.20782,.0037632,.0048111,.0010177,.0013615,.0010231
"model_baseline","lowskill","disposable(family)","sample_baseline",36,.87,.034113,.057894,.018489,.20782,.0037632,.0048111,.0010177,.001615,.0012823
"model_baseline","lowskill","disposable(family)","sample_baseline",37,.87,.034113,.053786,.019284,.20782,.0037632,.0048111,.0010177,.0014877,.0011516
"model_baseline","lowskill","disposable(family)","sample_baseline",38,.87,.034113,.054877,.019143,.20782,.0037632,.0048111,.0010177,.0014718,.0010414
"model_baseline","lowskill","disposable(family)","sample_baseline",39,.87,.034113,.052308,.018453,.20782,.0037632,.0048111,.0010177,.0014219,.0011123
"model_baseline","lowskill","disposable(family)","sample_baseline",40,.87,.034113,.050442,.018807,.20782,.0037632,.0048111,.0010177,.0014258,.0010701
"model_baseline","lowskill","disposable(family)","sample_baseline",41,.87,.034113,.050053,.018071,.20782,.0037632,.0048111,.0010177,.0013247,.0011351
"model_baseline","lowskill","disposable(family)","sample_baseline",42,.87,.034113,.050724,.017024,.20782,.0037632,.0048111,.0010177,.0016659,.0009382
"model_baseline","lowskill","disposable(family)","sample_baseline",43,.87,.034113,.049929,.016502,.20782,.0037632,.0048111,.0010177,.0014704,.0010066
"model_baseline","lowskill","disposable(family)","sample_baseline",44,.87,.034113,.050143,.01769,.20782,.0037632,.0048111,.0010177,.001576,.0011343
"model_baseline","lowskill","disposable(family)","sample_baseline",45,.87,.034113,.051378,.016623,.20782,.0037632,.0048111,.0010177,.0017881,.0013189
"model_baseline","lowskill","disposable(family)","sample_baseline",46,.87,.034113,.052516,.014562,.20782,.0037632,.0048111,.0010177,.0019644,.0013217
"model_baseline","lowskill","disposable(family)","sample_baseline",47,.87,.034113,.051052,.01522,.20782,.0037632,.0048111,.0010177,.0015233,.0012315
"model_baseline","lowskill","disposable(family)","sample_baseline",48,.87,.034113,.054156,.01337,.20782,.0037632,.0048111,.0010177,.001632,.0011241
"model_baseline","lowskill","disposable(family)","sample_baseline",49,.87,.034113,.053191,.012004,.20782,.0037632,.0048111,.0010177,.0017778,.0011756
"model_baseline","lowskill","disposable(family)","sample_baseline",50,.87,.034113,.049084,.013841,.20782,.0037632,.0048111,.0010177,.0018085,.0014474
"model_baseline","lowskill","disposable(family)","sample_baseline",51,.87,.034113,.053362,.010837,.20782,.0037632,.0048111,.0010177,.0019937,.0014094
"model_baseline","lowskill","disposable(family)","sample_baseline",52,.87,.034113,.056308,.010577,.20782,.0037632,.0048111,.0010177,.0017162,.001547
"model_baseline","lowskill","disposable(family)","sample_baseline",53,.87,.034113,.052642,.012906,.20782,.0037632,.0048111,.0010177,.0018873,.0017751
"model_baseline","lowskill","disposable(family)","sample_baseline",54,.87,.034113,.051171,.011227,.20782,.0037632,.0048111,.0010177,.0024924,.0013802
"model_baseline","lowskill","disposable(family)","sample_baseline",55,.87,.034113,.054011,.012466,.20782,.0037632,.0048111,.0010177,.0019982,.0015151
"model_baseline","lowskill","disposable(family)","sample_baseline",56,.87,.034113,.057404,.0099856,.20782,.0037632,.0048111,.0010177,.0021523,.0014977
"model_baseline","lowskill","disposable(family)","sample_baseline",57,.87,.034113,.061422,.01135,.20782,.0037632,.0048111,.0010177,.002443,.001756
"model_baseline","lowskill","disposable(family)","sample_baseline",58,.87,.034113,.066559,.010016,.20782,.0037632,.0048111,.0010177,.0021665,.0018359
"model_baseline","lowskill","disposable(family)","sample_baseline",59,.87,.034113,.070537,.012471,.20782,.0037632,.0048111,.0010177,.0030648,.0020889
"model_baseline","lowskill","disposable(family)","sample_baseline",60,.87,.034113,.070537,.012471,.20782,.0037632,.0048111,.0010177,.0030648,.0020889
"model_baseline","lowskill","market","sample_baseline",26,1,,.079549,.095632,.2385,0,.0035885,,.004793,.0033589
"model_baseline","lowskill","market","sample_baseline",27,1,,.074141,.09075,.2385,0,.0035885,,.0022228,.0023235
"model_baseline","lowskill","market","sample_baseline",28,1,,.1186,.086469,.2385,0,.0035885,,.0032482,.0024874
"model_baseline","lowskill","market","sample_baseline",29,1,,.11421,.075294,.2385,0,.0035885,,.0031314,.0023666
"model_baseline","lowskill","market","sample_baseline",30,1,,.11953,.07103,.2385,0,.0035885,,.0032175,.0022719
"model_baseline","lowskill","market","sample_baseline",31,1,,.12113,.065451,.2385,0,.0035885,,.0028996,.0021072
"model_baseline","lowskill","market","sample_baseline",32,1,,.12044,.060669,.2385,0,.0035885,,.00264,.0020545
"model_baseline","lowskill","market","sample_baseline",33,1,,.11661,.060786,.2385,0,.0035885,,.0026462,.0023225
"model_baseline","lowskill","market","sample_baseline",34,1,,.12422,.056322,.2385,0,.0035885,,.0031309,.0019346
"model_baseline","lowskill","market","sample_baseline",35,1,,.12854,.055036,.2385,0,.0035885,,.0031181,.0021048
"model_baseline","lowskill","market","sample_baseline",36,1,,.13665,.054066,.2385,0,.0035885,,.0030517,.0020814
"model_baseline","lowskill","market","sample_baseline",37,1,,.13533,.05371,.2385,0,.0035885,,.0033735,.0020394
"model_baseline","lowskill","market","sample_baseline",38,1,,.13756,.049958,.2385,0,.0035885,,.0032522,.0020157
"model_baseline","lowskill","market","sample_baseline",39,1,,.13566,.050241,.2385,0,.0035885,,.0031536,.0022622
"model_baseline","lowskill","market","sample_baseline",40,1,,.13418,.048622,.2385,0,.0035885,,.0034612,.0022235
"model_baseline","lowskill","market","sample_baseline",41,1,,.13514,.045686,.2385,0,.0035885,,.003264,.0020159
"model_baseline","lowskill","market","sample_baseline",42,1,,.13219,.04205,.2385,0,.0035885,,.0034081,.0015616
"model_baseline","lowskill","market","sample_baseline",43,1,,.13375,.043785,.2385,0,.0035885,,.0032709,.0017547
"model_baseline","lowskill","market","sample_baseline",44,1,,.14058,.041518,.2385,0,.0035885,,.0029853,.001995
"model_baseline","lowskill","market","sample_baseline",45,1,,.14521,.041321,.2385,0,.0035885,,.003259,.0021561
"model_baseline","lowskill","market","sample_baseline",46,1,,.15163,.038149,.2385,0,.0035885,,.003827,.0017944
"model_baseline","lowskill","market","sample_baseline",47,1,,.15737,.035061,.2385,0,.0035885,,.0034704,.0019702
"model_baseline","lowskill","market","sample_baseline",48,1,,.16571,.030414,.2385,0,.0035885,,.0036043,.0020736
"model_baseline","lowskill","market","sample_baseline",49,1,,.17423,.02784,.2385,0,.0035885,,.0035084,.0017525
"model_baseline","lowskill","market","sample_baseline",50,1,,.17643,.026424,.2385,0,.0035885,,.0041936,.0023529
